"Count","Tradelist Count","Name","Edition","Condition","Language","Foil","Tags","Last Modified","Collector Number","Alter","Proxy","Purchase Price"
"7","7","Azula Always Lies","tla","Near Mint","English","","","2026-09-10 00:13:02.787000","84","False","False","0.15"
"1","1","Azula, Cunning Usurper","tla","Near Mint","English","","","2026-09-10 00:13:02.787000","303","False","False","1.62"
"2","2","Azula, Cunning Usurper","tla","Near Mint","English","","","2026-09-10 00:13:02.787000","208","False","False","0.33"
"1","1","Azula, On the Hunt","tla","Near Mint","English","foil","","2026-09-10 00:13:02.787000","85","False","False","0.23"
"4","4","Azula, On the Hunt","tla","Near Mint","English","","","2026-09-10 00:13:02.787000","85","False","False","0.15"
"1","1","Ba Sing Se","tla","Near Mint","English","","","2026-09-10 00:13:02.787000","266","False","False","5.06"
"4","4","Badgermole","tla","Near Mint","English","","","2026-09-10 00:13:02.787000","166","False","False","0.16"
"1","1","Badgermole Cub","tla","Near Mint","English","","","2026-09-10 00:13:02.787000","167","False","False","53.87"
"1","1","Bag End Banquet","hoc","Near Mint","English","","","2026-09-10 00:13:02.787000","5","False","False","10.16"
"1","1","Bag End Porter","ltr","Near Mint","English","","","2026-09-10 00:13:02.787000","153","False","False","0.11"
"4","4","Bagel and Schmear","spm","Near Mint","English","","","2026-09-10 00:13:02.787000","161","False","False","0.15"
"1","1","Bagel and Schmear","spm","Near Mint","English","foil","","2026-09-10 00:13:02.787000","161","False","False","0.29"
"3","3","Balamb T-Rexaur","fin","Near Mint","English","","","2026-09-10 00:13:02.787000","173","False","False","0.13"
"1","1","Balin, Loremaster","hob","Near Mint","English","foil","","2026-09-10 00:13:02.787000","87","False","False","0.37"
"1","1","Balin, Loremaster","hob","Near Mint","English","","","2026-09-10 00:13:02.787000","301","False","False","0.86"
"1","1","Balin, Loremaster","hob","Near Mint","English","","","2026-09-10 00:13:02.787000","87","False","False","0.35"
"2","2","Banish from Edoras","ltr","Near Mint","English","","","2026-09-10 00:13:02.787000","1","False","False","0.13"
"1","1","Banishing Light","ltc","Near Mint","English","","","2026-09-10 00:13:02.787000","161","False","False","0.22"
